id,skill_id,title,lesson_text,sort_order
"0ad22830-c7b5-4e5f-a91a-7ba0786e4d20","2db9d823-87f7-4ae3-8c1f-904dec706661","Dairy Does More Than Add Liquid","Dairy ingredients can do different jobs depending on the recipe. Some dairy ingredients mainly add moisture, while others add richness, thickness, or a slightly tangy flavor.

Before choosing a substitute, it helps to ask what the dairy is doing in the recipe. For example, a thin dairy ingredient is easier to replace when the recipe only needs liquid. A thicker or tangier dairy ingredient needs a substitute that is closer in texture or flavor.","1"
"b8207096-8518-4fcd-b7c9-a6eefb9b0a43","2db9d823-87f7-4ae3-8c1f-904dec706661","Match Texture and Flavor","A good dairy substitute should be similar to the original ingredient. Texture matters because some dairy ingredients are thin and pourable, while others are thick and spoonable. Flavor matters too, especially when the dairy is used as a topping or dip.

For toppings, dips, and spreads, the substitute usually needs to stay thick enough to sit on the food instead of soaking into it. A substitute with a mild tangy flavor can also work better than something plain or watery.","2"
"6a1b6fc6-d03a-400c-8ab9-c31024cfcc2e","2db9d823-87f7-4ae3-8c1f-904dec706661","Some Swaps Change the Final Dish","Even when a substitution works, it can still change the final result. A recipe may turn out thinner, less creamy, less rich, or slightly different in flavor.

This matters most in soups, sauces, dips, and desserts, where dairy often affects texture. When replacing a rich dairy ingredient, choose something that can replace both the liquid and some of the fat. Otherwise, the dish may still cook, but it may not feel as creamy.","3"
"63a08e2a-b315-4aa6-a513-7b5bb0aa924a","be2c9965-4b83-45fd-97d6-cefd35b3a355","Fresh and Dried Herbs Are Different","Fresh herbs and dried herbs can both add flavor, but they are not used in the same amount. Dried herbs usually have a stronger, more concentrated flavor because the water has been removed.

When swapping dried herbs for fresh herbs, you usually need less dried herb than fresh herb. A common rule is to use about one-third as much dried herb as fresh. This helps keep the flavor from becoming too strong.","1"
"c28f946f-9491-405c-8b9a-02a73c341202","be2c9965-4b83-45fd-97d6-cefd35b3a355","Think About the Herb’s Job","Herbs can be used for different reasons. Sometimes they add strong flavor while the food cooks. Other times, they are added at the end to make the dish look fresh, colorful, or finished.

When an herb is mostly being used as a garnish, the substitute should usually be fresh, mild, and green. A dried herb may add flavor, but it will not give the same fresh look or texture.","2"
"ec78fce1-17c9-4963-bebb-69307546b740","be2c9965-4b83-45fd-97d6-cefd35b3a355","Some Seasonings Are Blends","Some seasonings are not single ingredients. They are blends made from several herbs or spices mixed together. If you are missing a seasoning blend, you may be able to replace it by combining spices that create a similar flavor.

When replacing a blend, think about the type of flavor it usually adds. Some blends are warm and sweet, some are savory and herbal, and some are smoky or spicy.","3"
"b93530e1-14e3-4031-8190-014dda6a5fe1","caf786b9-987d-468c-9093-dccbed170692","Binders Hold Ingredients Together","Some ingredients act like glue in a recipe. These are called binders. A binder helps ingredients stick together so the food does not crumble or fall apart.

Eggs are common binders in baked goods like muffins, cookies, and quick breads. If a recipe needs an egg mainly for binding, the substitute should also help hold the mixture together.","1"
"b91a3856-0fad-4dad-a0ad-f2fccf383248","caf786b9-987d-468c-9093-dccbed170692","Thickeners Make Mixtures Less Runny","Thickeners help liquids become thicker. They are often used in sauces, gravies, soups, puddings, and fruit fillings.

Cornstarch and flour can both be used as thickeners, but they are not always used in the same amount. Cornstarch has stronger thickening power than flour, so you usually need more flour if you are using it as a substitute.","2"
"e662d8ae-6b9f-4025-bf15-370a62c85a49","caf786b9-987d-468c-9093-dccbed170692","Technique Matters With Thickeners","Using the right thickener is important, but how you add it matters too. Some starches can clump if they are added directly to hot liquid.

A slurry is a mixture of starch and cold liquid. Mixing the starch with cold water first helps it spread evenly before it goes into a hot sauce, soup, or filling.","3"
"e9c77a80-2a5f-448e-8747-d3aa63b9ea31","a589ece4-f01b-4ac8-bcb0-3f97d473548e","Doubling a Recipe","Scaling a recipe means changing the amount of food the recipe makes. If you want to make twice as much food, you usually double the ingredients.

Doubling means multiplying the original amount by 2. This works well for basic ingredients like broth, pasta, flour, rice, or vegetables.","1"
"36452936-f307-4308-878b-d45d03d24367","a589ece4-f01b-4ac8-bcb0-3f97d473548e","Cutting a Recipe in Half","Sometimes you may want to make less food instead of more. If you want to make half as much food, you usually cut the ingredients in half.

Halving means dividing the original amount by 2. This is useful when a recipe makes too many servings or when you only have enough ingredients for a smaller batch.","2"
"60a05e17-984b-4ef9-9bfa-8f6d000807e8","a589ece4-f01b-4ac8-bcb0-3f97d473548e","Keep the Same Ratio","Some recipes depend on ingredients staying in the same balance. This is called keeping the same ratio. If one ingredient increases, the other connected ingredients need to increase in the same way.

This matters in recipes like bread, sauces, dressings, and batters. If the ratio changes too much, the food may become too dry, too wet, too thick, or too thin.","3"
"f22fede2-5d46-4a55-9918-1849f524ce26","776c1bf1-0198-43da-a416-2c9d2df2e342","Start With the Most Likely Fix","When food tastes bland, it usually does not need a complicated fix right away. Often, it needs a small amount of seasoning. Salt is one of the most important flavor tools because it helps bring out the flavors that are already in the food.

The best first step is to add a little, stir, and taste again. Adding too much at once can make the food too salty, so small adjustments are safer.","1"
"813d9eb5-395d-4120-86a3-6e553f4590e7","776c1bf1-0198-43da-a416-2c9d2df2e342","Calm Down Spicy Heat","If a dish tastes too spicy, the goal is to reduce how strong the heat feels. Spicy flavors can often be softened by adding something creamy, fatty, or mild.

Ingredients like yogurt, sour cream, coconut milk, cream, or extra mild ingredients can help balance heat. This does not remove the spice completely, but it can make the dish easier to eat.","2"
"940052bc-7ec4-4c22-aab6-27298469a015","776c1bf1-0198-43da-a416-2c9d2df2e342","Fix Saltiness by Spreading It Out","If a dish is too salty, adding sugar usually does not solve the problem. The most reliable fix is to spread the salt out by adding more unsalted ingredients or more liquid.

For soups and stews, this might mean adding unsalted broth, water, vegetables, beans, rice, or potatoes. The goal is to make a larger amount of food so the salty flavor is less concentrated.","3"
"78635e43-4346-4e24-9355-a3d637ea57d8","966ad887-649c-4926-b504-eb695bdc4754","Thickening Food That Is Too Thin","Sometimes soups, sauces, or gravies turn out thinner than expected. The goal is to thicken the food without making it lumpy.

One safe way to thicken a hot liquid is to make a slurry. A slurry is made by mixing a thickener, like cornstarch or flour, with a small amount of cold liquid first. Once it is smooth, it can be stirred into the hot food.","1"
"e693925d-75ae-4a76-8424-17929cdc18e2","966ad887-649c-4926-b504-eb695bdc4754","Thinning Food That Is Too Thick","Sometimes a sauce, soup, or batter becomes thicker than you want. The best fix is to add a small amount of liquid at a time.

Adding liquid slowly gives you more control. If you add too much at once, the food can quickly become too thin. Stir after each small addition and check the texture before adding more.","2"
