id,mini_lesson_id,prompt,choices,correct_answer,feedback,sort_order
"4b640e03-acb1-438d-a683-8a5c0a3d8292","0ad22830-c7b5-4e5f-a91a-7ba0786e4d20","A pancake recipe calls for 1 cup of buttermilk. Which substitution works best?","[""1 cup milk mixed with a small amount of lemon juice or vinegar"",""1 cup water"",""1 cup melted butter"",""1 cup flour mixed with sugar""]","A","Buttermilk adds moisture and acidity. Milk with a little lemon juice or vinegar is a closer match than water or butter.","1"
"8be05fdd-3ef8-4b99-b936-6da4365d9a33","b8207096-8518-4fcd-b7c9-a6eefb9b0a43","Which ingredient is the best easy substitute for sour cream in a baked potato topping?","[""Plain Greek yogurt"",""Whole milk"",""Melted butter"",""Water""]","A","Plain Greek yogurt is thick and slightly tangy, so it works better as a sour cream substitute than thin liquids like milk or water.","1"
"09f83c2f-16bc-4000-9a3c-1e39779cb8c6","6a1b6fc6-d03a-400c-8ab9-c31024cfcc2e","Which substitute works best for 1 cup of heavy cream in a soup when the cream does not need to be whipped?","[""1 cup milk with butter"",""1 cup water"",""1 cup plain broth only"",""1 cup lemon juice""]","A","Heavy cream adds both liquid and fat. Milk with butter is a better match because it helps keep the soup creamy and rich.","1"
"4bff4230-bbc6-438c-a57f-0be1e476eaa1","63a08e2a-b315-4aa6-a513-7b5bb0aa924a","A recipe calls for 1 tablespoon of fresh basil, but you only have dried basil. What should you use?","[""1 teaspoon dried basil"",""1 tablespoon dried basil"",""3 tablespoons dried basil"",""1 cup dried basil""]","A","Dried herbs are stronger than fresh herbs, so you usually use less. Since 1 tablespoon equals 3 teaspoons, 1 teaspoon dried basil is about one-third of the fresh amount.","1"
"ac2486a8-bc6a-4bb3-90cd-a602e275c719","c28f946f-9491-405c-8b9a-02a73c341202","Which herb is the best substitute for fresh parsley when it is mainly used as a garnish?","[""Fresh cilantro"",""Ground cinnamon"",""Garlic powder"",""Dried bay leaf""]","A","Fresh cilantro is green and leafy, so it can work as a garnish. The other options do not provide the same fresh appearance or texture.","1"
"b5e40939-d7c8-4788-a407-f1ee699777d2","ec78fce1-17c9-4963-bebb-69307546b740","Which mixture can replace 1 teaspoon of pumpkin pie spice?","[""Cinnamon, ginger, nutmeg, and cloves"",""Salt, pepper, garlic powder, and onion powder"",""Basil, oregano, thyme, and rosemary"",""Chili powder, cumin, paprika, and cayenne""]","A","Pumpkin pie spice is a warm baking spice blend. Cinnamon, ginger, nutmeg, and cloves create a similar warm flavor.","1"
"ed11e35a-42e0-415f-bc43-bf07895d708b","b93530e1-14e3-4031-8190-014dda6a5fe1","Which mixture can replace one egg as a binder in muffins or cookies?","[""1 tablespoon ground flaxseed mixed with 3 tablespoons water"",""1 cup water"",""1 tablespoon salt mixed with 3 tablespoons sugar"",""1 cup flour""]","A","Ground flaxseed mixed with water creates a gel-like mixture that can help bind ingredients together in baked goods.","1"
"d93e6f74-dcb8-4758-999b-0bf0e17801eb","b91a3856-0fad-4dad-a0ad-f2fccf383248","A sauce recipe calls for 1 tablespoon of cornstarch, but you only have all-purpose flour. What should you use?","[""2 tablespoons all-purpose flour"",""1 teaspoon all-purpose flour"",""1 cup all-purpose flour"",""2 tablespoons sugar""]","A","Flour is a weaker thickener than cornstarch, so you usually need about twice as much flour to replace cornstarch.","1"
"2a3bced7-b210-41b1-93f9-69f3b5596050","e662d8ae-6b9f-4025-bf15-370a62c85a49","A recipe calls for a cornstarch slurry. What is the correct way to prepare the substitute before adding it to hot liquid?","[""Mix the starch with cold water first"",""Sprinkle dry starch directly into boiling liquid"",""Mix the starch with oil only"",""Bake the starch before adding it""]","A","A slurry is made by mixing starch with cold liquid first. This helps prevent clumps when it is added to hot liquid.","1"
"a1a404e7-216c-4ba3-912b-a90752ba6ea9","e9c77a80-2a5f-448e-8747-d3aa63b9ea31","A soup recipe serves 4 people and uses 2 cups of broth. How much broth is needed to serve 8 people?","[""1 cup"",""2 cups"",""4 cups"",""8 cups""]","C","The recipe is being doubled from 4 servings to 8 servings, so the broth also doubles from 2 cups to 4 cups.","1"
